WKT,fid,DN
"POLYGON ((3396649.56397632 -111395.923224397,3396649.56397632 -112454.316794225,3397178.76076123 -112454.316794225,3397178.76076123 -112983.513579139,3397443.35915369 -112983.513579139,3397443.35915369 -112718.915186682,3397707.95754615 -112718.915186682,3397707.95754615 -112454.316794225,3397443.35915369 -112454.316794225,3397443.35915369 -111395.923224397,3396649.56397632 -111395.923224397))","1","1"
"POLYGON ((3380509.06203644 -111395.923224397,3380773.6604289 -111395.923224397,3380773.6604289 -111925.120009311,3380244.46364398 -111925.120009311,3380244.46364398 -111660.521616854,3380509.06203644 -111660.521616854,3380509.06203644 -111395.923224397))","2","1"
"POLYGON ((3385536.43149312 -111660.521616854,3385536.43149312 -111925.120009311,3385801.02988558 -111925.120009311,3385801.02988558 -111660.521616854,3385536.43149312 -111660.521616854))","3","1"
"POLYGON ((3374952.49579484 -111925.120009311,3374952.49579484 -112189.718401768,3375217.0941873 -112189.718401768,3375217.0941873 -111925.120009311,3374952.49579484 -111925.120009311))","4","1"
"POLYGON ((3375217.0941873 -112189.718401768,3375217.0941873 -112454.316794225,3375481.69257976 -112454.316794225,3375481.69257976 -112189.718401768,3375217.0941873 -112189.718401768))","5","1"
"POLYGON ((3394268.17844421 -112189.718401768,3394268.17844421 -112454.316794225,3394532.77683666 -112454.316794225,3394532.77683666 -112189.718401768,3394268.17844421 -112189.718401768))","6","1"
"POLYGON ((3376804.68454204 -112454.316794225,3376804.68454204 -112718.915186682,3377069.2829345 -112718.915186682,3377069.2829345 -112454.316794225,3376804.68454204 -112454.316794225))","7","1"
"POLYGON ((3383948.84113838 -112718.915186682,3383948.84113838 -112983.513579139,3384478.0379233 -112983.513579139,3384478.0379233 -112718.915186682,3383948.84113838 -112718.915186682))","8","1"
"POLYGON ((3393738.98165929 -112983.513579139,3393738.98165929 -113248.111971596,3394003.58005175 -113248.111971596,3394003.58005175 -112983.513579139,3393738.98165929 -112983.513579139))","9","1"
"POLYGON ((3394532.77683666 -112983.513579139,3394532.77683666 -113248.111971596,3394797.37522912 -113248.111971596,3394797.37522912 -113512.710364053,3395061.97362158 -113512.710364053,3395061.97362158 -112983.513579139,3394532.77683666 -112983.513579139))","10","1"
"POLYGON ((3395855.76879895 -112983.513579139,3395855.76879895 -113248.111971596,3396120.36719141 -113248.111971596,3396120.36719141 -112983.513579139,3395855.76879895 -112983.513579139))","11","1"
"POLYGON ((3380244.46364398 -113248.111971596,3380244.46364398 -113512.710364053,3380509.06203644 -113512.710364053,3380509.06203644 -113248.111971596,3380244.46364398 -113248.111971596))","12","1"
