fid,radio_type,lon,lat
1,UMTS,29.250401,-1.692798
2,UMTS,29.251633,-1.69426
3,UMTS,29.258652,-1.709061
4,GSM,30.06889343,-1.92741394
5,GSM,29.184769,-2.34874
6,UMTS,30.09532,-1.968203
7,UMTS,30.10047913,-1.968612671
8,GSM,30.096909,-1.948013
9,GSM,30.105057,-1.948929
10,UMTS,30.11146545,-1.976852417
11,UMTS,30.11146545,-1.976852417
12,UMTS,30.110698,-1.958515
13,UMTS,30.125825,-1.948553
14,GSM,29.55116272,-1.555252075
15,GSM,29.55336,-1.553879
16,GSM,29.633389,-1.502552
17,UMTS,30.053787,-1.92196
18,GSM,30.5165863,-1.846389771
19,GSM,30.511093,-1.876144
20,GSM,28.915482,-2.484436
21,UMTS,30.077591,-1.931534
22,UMTS,30.070953,-1.926727
23,UMTS,30.05928,-1.944443
24,UMTS,30.108169,-1.960503
25,UMTS,30.085373,-1.927071
26,UMTS,30.16914368,-1.976852417
27,GSM,30.03456116,-1.476974487
28,UMTS,30.129868,-1.943893
29,UMTS,30.1445,-1.953897
30,UMTS,30.09773254,-1.971359253
31,UMTS,30.073013,-1.967411
32,GSM,28.909836,-2.485313
33,GSM,30.084392,-1.977245
34,UMTS,30.05516052,-1.948013306
35,UMTS,30.05516052,-1.948013306
36,GSM,30.076741,-1.949975
37,UMTS,30.05653381,-1.975479126
38,UMTS,30.060523,-1.94664
39,GSM,30.05983,-1.94664
40,GSM,30.066449,-1.945747
41,GSM,30.058594,-1.945496
42,UMTS,30.113908,-1.942998
43,UMTS,30.11283875,-1.935653687
44,GSM,30.111809,-1.942177
45,UMTS,30.060997,-1.956768
46,UMTS,30.054435,-1.930047
47,GSM,30.05378723,-1.921920776
48,UMTS,30.095329,-1.953506
49,GSM,30.109042,-1.975964
50,GSM,30.105862,-1.973062
51,GSM,30.11833191,-1.997451782
52,UMTS,30.135037,-1.93571
53,UMTS,30.1348114,-1.941146851
54,GSM,30.1348114,-1.941146851
55,GSM,30.079193,-1.927277
56,GSM,30.082283,-1.919861
57,GSM,30.093024,-1.918782
58,GSM,30.108376,-1.924324
59,GSM,30.112495,-1.923122
60,GSM,30.120843,-1.953569
61,GSM,30.119509,-1.956057
62,UMTS,30.16365051,-1.975479126
63,UMTS,30.069408,-1.970501
64,GSM,28.894272,-2.488632
65,GSM,30.114212,-1.95845
66,GSM,30.108719,-1.961989
67,UMTS,30.094346,-1.949754
68,GSM,30.094643,-1.95179
69,GSM,30.058456,-1.944717
70,GSM,30.055298,-1.944031
