giga_id_school,education_level,latitude,longitude,electricity_availability,internet_availability,connectivity_type,fiber_node_distance,nearest_LTE_distance,nearest_UMTS_distance,nearest_GSM_distance,twoG,threeG,fourG
c9a150db-9a5e-42e4-bb6b-0703b51088e1,Primary,-2.822972222,29.52458333,ON GRID,USB_MODEM,3G,18.52,78.22,16.46,14.6,1,0,1
5511a453-5ce0-4fde-85fa-272a6e466abd,Secondary,-2.80914,29.50244,ON GRID,FOUR_G,4G,17.61,75.33,18.63,14.31,0,0,0
cc28e64c-881c-4363-b2ee-3cc4c82c7772,Secondary,-2.79042,29.47536,ON GRID,USB_MODEM,3G,16.94,71.7,17.73,14.61,0,0,0
a7532d46-d415-4c67-b934-c5fdda435cc5,Primary,-2.790416667,29.47536111,ON GRID,USB_MODEM,3G,16.94,71.7,17.73,14.61,0,0,0
e745316b-5a50-4a44-b208-a253ede85888,Primary,-2.7861944,29.4883333,ON GRID,NONE,None,15.85,72.78,17.21,13.26,1,0,1
7fe564e8-abb0-435c-8c79-2fac90f37090,Secondary,-2.78597,29.51597,ON GRID,FOUR_G,4G,14.72,75.54,16.01,11.34,0,0,0
86fced00-a581-4f28-aece-3331f09b76dc,Secondary,-2.783833333,29.52805556,ON GRID,WIMAX,3.5G,14.19,76.66,15.41,10.48,1,0,1
103d8564-d1cc-432a-afc8-5f87da6dfb5c,Primary,-2.76383,29.51789,ON GRID,FOUR_G,4G,12.31,74.72,13.63,9.23,1,0,1
13682fe0-7e2c-4eea-9f32-418aac68a16c,Secondary,-2.74661,29.46919,ON GRID,FOUR_G,4G,13.42,69,13,11.91,1,0,1
d4a867ac-a5e6-4f80-b864-318ad16d3c76,Primary,-2.73994,29.49556,ON GRID,FOUR_G,4G,11.01,71.41,12.13,9.46,1,0,1
a3428b28-76e9-418c-826c-8314071091f9,Primary,-2.802305556,29.56394444,ON GRID,FOUR_G,4G,16.06,81.13,11.75,11.47,0,0,1
d6f730d2-00fa-400f-a56f-b3c45398fe16,Primary,-2.795555556,29.55061111,ON GRID,USB_MODEM,3G,15.25,79.48,13.17,10.88,0,0,0
a705bc84-7741-4c2d-92a7-8fe59a03a37a,Primary,-2.795555556,29.55061111,ON GRID,FOUR_G,4G,15.25,79.48,13.17,10.88,0,0,0
0e2240a9-caff-42b3-9d64-ebb2325eac52,Secondary,-2.78453,29.53286,ON GRID,FOUR_G,4G,14.18,77.17,15.14,10.32,1,0,1
14c282ad-7c0d-4080-87d4-4c34db11769c,Secondary,-2.74761,29.55814,ON GRID,FOUR_G,4G,9.98,78.19,10.98,5.52,1,0,1
6c39f25d-986b-4f25-b6fe-4a2c398a4e51,Primary,-2.72553,29.54506,ON GRID,WIMAX,3.5G,7.54,75.98,8.71,4.05,0,0,1
bfc3a97e-67e3-4f49-879b-f54526bfce92,Primary,-2.72072,29.56139,ON GRID,NONE,None,7.06,75.75,8,2.58,1,0,1
91a7f3d8-d77a-45c7-be77-00c414bea062,Secondary,-2.713694444,29.53930556,ON GRID,USB_MODEM,3G,6.34,74.28,7.61,3.81,1,0,1
6d34b5d2-b240-465a-85f6-f1ba3c1dccb0,Secondary,-2.71369,29.53931,ON GRID,NONE,None,6.34,74.28,7.6,3.81,1,0,1
fad75d79-3932-4b6a-919d-e11900b15e99,Secondary,-2.71189,29.578,ON GRID,FOUR_G,4G,6.69,75.41,7.28,1.64,1,0,1
180b4475-6e11-41c5-ab61-81d64780391a,Primary,-2.772861111,29.44875,ON GRID,USB_MODEM,3G,17.1,68.18,16.33,15.23,1,0,0
99758f29-d9fa-4036-bf48-0e224c72c8ae,Primary,-2.76897,29.44906,ON GRID,WIMAX,3.5G,16.76,68.02,15.91,14.8,1,0,0
aa5e8967-a869-4124-8b58-fcf081e48567,Secondary,-2.75669,29.44336,ON GRID,NONE,None,16.25,66.85,14.81,13.7,1,0,0
c9de7c27-9969-4fa4-9310-155a266a26df,Primary,-2.72644,29.43867,ON GRID,USB_MODEM,3G,14.66,65,11.94,10.86,1,0,1
df56e515-b9d4-43cd-82ba-7e22b94237e7,Secondary,-2.72375,29.44428,ON GRID,USB_MODEM,3G,13.97,65.45,11.4,10.31,1,0,1
b857520e-fb46-40fb-9ae3-a0fac2325deb,Primary,-2.71547,29.44428,ON GRID,USB_MODEM,3G,13.51,65.1,10.57,9.49,1,0,1
9783eabb-e4a6-4c38-a66f-230ef3b8e808,Primary,-2.70383,29.4325,ON GRID,NONE,None,14.17,63.41,10.19,8.99,1,0,1
d8738d9f-ca40-41eb-ad97-57f279939cce,Secondary,-2.68919,29.44169,ON GRID,FOUR_G,4G,12.68,63.8,8.28,7.08,1,0,1
206eddca-2dd7-4091-a964-e1dc6a64ca9c,Secondary,-2.676333333,29.44038889,ON GRID,USB_MODEM,3G,12.51,63.2,7.33,5.92,1,0,1
b7669bbb-8de8-4b0a-90b0-871546461e68,Secondary,-2.664305556,29.46205556,ON GRID,WIMAX,3.5G,9.95,65.09,4.72,3.69,1,0,1
6786eb3f-4021-421a-8aa6-c0dba236e8f7,Secondary,-2.69642,29.56889,ON GRID,WIMAX,3.5G,4.71,73.47,5.39,0.35,1,0,1
c9b96573-b56f-40c5-b4bb-ebb11dac9cc3,Secondary,-2.696416667,29.56888889,ON GRID,USB_MODEM,3G,4.71,73.46,5.39,0.35,1,0,1
488de7c0-bb31-4f90-b0d5-3635aad41d4e,Secondary,-2.695472222,29.56866667,ON GRID,USB_MODEM,3G,4.6,73.36,5.28,0.45,1,0,1
b7778cf1-7737-41a1-bdf4-7e927f6c6dbd,Secondary,-2.693638889,29.56844444,ON GRID,WIMAX,3.5G,4.41,73.16,5.08,0.65,1,0,1
fb3cab8a-5e07-47c9-aaf0-314ca4508c69,Primary,-2.692333333,29.54947222,ON GRID,USB_MODEM,3G,3.84,72.35,5.02,2.45,0,0,1
93b34c5e-c0e2-4858-8539-e7539b93f0ba,Primary,-2.678222222,29.56602778,ON GRID,FOUR_G,4G,2.8,71.46,3.35,2.37,1,0,1
60e482e1-71d0-45e0-a53f-d4458bcfb412,Primary,-2.657805556,29.56016667,ON GRID,USB_MODEM,3G,0.98,69.12,1.04,0.8,1,0,1
93b19845-29d1-4cef-a025-c281ea59eb7b,Secondary,-2.648472222,29.55297222,ON GRID,FOUR_G,4G,1.03,67.88,0.87,0.52,1,0,1
3fcd01f0-ad57-4136-9fcd-aefcc7ce2008,Primary,-2.64772,29.54058,ON GRID,USB_MODEM,3G,1.62,67.36,2.25,1.72,1,0,1
c1a81eb5-7c66-4a07-85dc-a01aa07bfb55,Secondary,-2.646116,29.554397,ON GRID,WIMAX,3.5G,1.32,67.68,0.75,0.71,1,0,1
beac0706-9594-4304-ab4f-7ecbf9e096d6,Primary,-2.70842,29.51578,ON GRID,USB_MODEM,3G,6.87,72.28,8.31,6.16,1,0,1
3fae3362-99c6-477b-860f-e0d8789a0912,Primary,-2.708416667,29.51577778,ON GRID,USB_MODEM,3G,6.87,72.28,8.31,6.16,1,0,1
dc239bc3-4989-47f8-8641-d889ff688f0f,Primary,-2.69978,29.46722,ON GRID,FOUR_G,4G,10.45,66.87,8,6.89,1,0,1
d1dba570-be4b-43b0-9291-b504941c7a0d,Secondary,-2.6895,29.49330556,ON GRID,USB_MODEM,3G,7.35,69.24,6.55,5.41,0,0,1
9df3b1f5-adfd-4ea1-bf60-9f033094e21e,Primary,-2.66625,29.4955,ON GRID,USB_MODEM,3G,6.28,67.96,4.04,2.9,1,0,1
37d3e123-b6e0-4db5-b2ae-bd697f93b65f,Secondary,-2.62894,29.52456,ON GRID,FOUR_G,4G,4.35,64.84,4.07,2.55,1,0,1
db57f4cf-5ded-42b0-a98b-217a4711e207,Primary,-2.62425,29.48669444,ON GRID,USB_MODEM,3G,8.08,63.21,0.71,1.05,1,0,1
dc9ea216-f54d-4467-8548-52c3494a62e5,Secondary,-2.62425,29.48669,ON GRID,USB_MODEM,3G,8.08,63.21,0.71,1.05,1,0,1
aabaa422-5891-4968-b14c-2e2a8c5c28f8,Secondary,-2.61558,29.46906,ON GRID,WIMAX,3.5G,10.26,61.84,2.68,1.81,1,0,0
